,BLDG_IRN,NAME,YEAR,DIVISION,GENDER,TYPE,PLACE,POPULATION
0,97923,East Dayton Christian ,2020,3,B,District,9,79
1,68205,Delaware Christian ,2020,3,B,District,10,88
2,52860,Central Christian ,2020,3,B,District,13,95
3,134619,Emmanuel Christian Academy ,2020,3,B,District,7,104
4,13870,Fayette Jr/Sr High School,2020,3,B,District,7,109
5,17582,Jackson Center High School,2020,3,B,District,10,109
6,37960,Upper Scioto Valley High School,2020,3,B,District,7,111
7,15172,Hardin Northern High School,2020,3,B,District,6,112
8,23879,Mckinley High School,2020,3,B,District,12,112
9,53686,"Bishop Hoffman Catholic, St Joseph Central Catholi",2020,3,B,District,7,115
10,53785,St Peter High School and Junior High School ,2020,3,B,District,8,115
11,3376,Bradford High School,2020,3,B,District,13,116
12,53116,Central Catholic Tuscarawas Co ,2020,3,B,District,9,116
13,33050,Russia High School,2020,3,B,District,4,117
14,33050,Russia High School,2020,3,B,Regional,6,117
15,28936,Ottoville High School,2020,3,B,District,10,122
16,89722,Madison Christian School ,2020,3,B,District,7,123
17,21717,Lucas High School,2020,3,B,District,10,124
18,52779,Calvert Catholic Schools ,2020,3,B,District,5,125
19,40097,Waynesfield-Goshen Local High School,2020,3,B,District,5,126
20,16568,Holgate High School,2020,3,B,District,1,128
21,16568,Holgate High School,2020,3,B,Regional,2,128
22,16568,Holgate High School,2020,3,B,State,4,128
23,53751,Sandusky Central Catholic School ,2020,3,B,District,4,132
24,39081,Millersport Jr/Sr High School,2020,3,B,District,11,138
25,52670,Wm V Fisher Catholic ,2020,3,B,District,2,138
26,52670,Wm V Fisher Catholic ,2020,3,B,Regional,3,138
27,52670,Wm V Fisher Catholic ,2020,3,B,State,10,138
28,26955,New Riegel High School,2020,3,B,District,1,139
29,26955,New Riegel High School,2020,3,B,Regional,5,139
30,26955,New Riegel High School,2020,3,B,State,14,139
31,126615,Miami Valley Christian Academy ,2020,3,B,District,6,142
32,42333,Western Reserve High School,2020,3,B,District,10,145
33,15099,South Gallia High School,2020,3,B,District,11,146
34,67546,Legacy Christian Academy ,2020,3,B,District,5,147
35,26070,North Baltimore High School,2020,3,B,District,13,147
36,18606,Kalida High School,2020,3,B,District,2,148
37,18606,Kalida High School,2020,3,B,Regional,22,148
38,90274,Open Door Christian Schools ,2020,3,B,District,5,148
39,12377,Franklin Monroe High School,2020,3,B,District,6,153
40,134510,Fairfield Christian Academy ,2020,3,B,District,8,157
41,67629,Mansfield Christian School ,2020,3,B,District,6,157
42,27169,Newton High School,2020,3,B,District,7,158
43,5173,Cedarville High School,2020,3,B,District,1,165
44,5173,Cedarville High School,2020,3,B,Regional,1,165
