,BLDG_IRN,NAME,YEAR,DIVISION,GENDER,TYPE,PLACE,POPULATION
0,4184,Bucyrus Secondary School,2018,2,B,District,12,279
1,14092,Grand Valley High School,2018,2,B,District,17,279
2,2782,Black River High School,2018,2,B,District,12,283
3,52662,Benedictine ,2018,2,B,District,5,285
4,52662,Benedictine ,2018,2,B,Regional,18,285
5,29991,Piketon Jr/Sr High School,2018,2,B,District,14,292
6,10769,Eastern High School,2018,2,B,District,10,310
7,752,Anna High School,2018,2,B,District,6,311
8,752,Anna High School,2018,2,B,Regional,10,311
9,27771,Northridge High School,2018,2,B,District,10,318
10,146480,Rock Hill Sr High School,2018,2,B,District,3,319
11,146480,Rock Hill Sr High School,2018,2,B,Regional,6,319
12,146480,Rock Hill Sr High School,2018,2,B,State,20,319
13,2139,Bellaire High School,2018,2,B,District,11,324
14,37663,Tuscarawas Valley High School,2018,2,B,District,16,327
15,27888,Northwestern High School,2018,2,B,District,11,331
16,37671,Tuslaw High School,2018,2,B,District,2,331
17,37671,Tuslaw High School,2018,2,B,Regional,4,331
18,37671,Tuslaw High School,2018,2,B,State,11,331
19,30304,Pleasant High School,2018,2,B,District,8,337
20,36582,Swanton High School,2018,2,B,District,4,342
21,33282,South Point High School,2018,2,B,District,28,343
22,13110,James A Garfield High School,2018,2,B,District,1,345
23,13110,James A Garfield High School,2018,2,B,Regional,11,345
24,13243,Genoa Area High School,2018,2,B,District,2,352
25,13243,Genoa Area High School,2018,2,B,Regional,10,352
26,27854,Northwest High School,2018,2,B,District,6,352
27,27854,Northwest High School,2018,2,B,Regional,16,352
28,26229,South Range High School,2018,2,B,District,5,354
29,26229,South Range High School,2018,2,B,Regional,19,354
30,935,Archbold High School,2018,2,B,District,3,357
31,9779,Eastwood I High School,2018,2,B,District,1,357
32,9779,Eastwood I High School,2018,2,B,Regional,8,357
33,30585,Portsmouth West High School,2018,2,B,District,27,357
34,6312,Chippewa Jr./Sr. High School,2018,2,B,District,8,359
35,31732,Ridgewood High School,2018,2,B,District,13,360
36,8995,East Clinton High School,2018,2,B,District,10,362
37,3863,Brookville High School,2018,2,B,District,9,366
38,24984,Milton-Union High School,2018,2,B,District,10,366
39,28779,Orrville High School,2018,2,B,District,7,366
40,4507,Harrison Central Jr./Sr. High School,2018,2,B,District,6,371
41,4507,Harrison Central Jr./Sr. High School,2018,2,B,Regional,15,371
42,5819,Champion High School,2018,2,B,District,12,372
43,11171,Fairless High School,2018,2,B,District,7,372
44,20420,Liberty Union High School,2018,2,B,District,9,372
45,41319,Willard High School,2018,2,B,District,6,372
46,10041,Edison High School,2018,2,B,District,3,375
47,10041,Edison High School,2018,2,B,Regional,3,375
48,10041,Edison High School,2018,2,B,State,13,375
49,26393,North Union High School,2018,2,B,District,3,378
50,26393,North Union High School,2018,2,B,Regional,11,378
51,7211,Conneaut High School,2018,2,B,District,13,379
52,35170,Southeast High School,2018,2,B,District,11,382
53,17194,Huron High School,2018,2,B,District,5,385
54,17194,Huron High School,2018,2,B,Regional,9,385
55,2840,Blanchester High School,2018,2,B,District,4,390
56,38414,Versailles High School,2018,2,B,District,8,390
57,28860,Otsego High School,2018,2,B,District,8,392
58,37564,Triway High School,2018,2,B,District,9,392
59,24372,Miami East High School,2018,2,B,District,14,394
60,19364,River Valley High School,2018,2,B,District,15,394
61,22418,Manchester High School,2018,2,B,District,13,395
62,562,Amanda-Clearcreek High School,2018,2,B,District,11,398
63,6635,Clermont Northeastern High School,2018,2,B,District,7,399
64,7724,Crestwood High School,2018,2,B,District,8,400
65,40261,Wellston High School,2018,2,B,District,22,402
66,111138,Buckeye Local High School,2018,2,B,District,18,403
67,38042,Utica High School,2018,2,B,District,7,404
68,18960,Keystone High School,2018,2,B,District,13,407
69,30569,Portsmouth Junior High School/Portsmouth High Scho,2018,2,B,District,17,407
70,11114,Fairland High School,2018,2,B,District,11,408
71,27763,Northridge High School,2018,2,B,District,22,409
72,40931,Wheelersburg High School,2018,2,B,District,26,413
