,BLDG_IRN,NAME,YEAR,DIVISION,GENDER,TYPE,PLACE,POPULATION
0,16886,Campus International High School,2018,1,B,District,13,342
1,53520,St Charles Preparatory ,2018,1,B,District,5,519
2,53520,St Charles Preparatory ,2018,1,B,Regional,16,519
3,53140,Lasalle ,2018,1,B,District,5,543
4,54015,St Johns Jesuit ,2018,1,B,District,6,570
5,16883,Rhodes College and Career Academy,2018,1,B,District,12,599
6,53595,St Francis De Sales School ,2018,1,B,District,3,601
7,53595,St Francis De Sales School ,2018,1,B,Regional,6,601
8,9498,East Community Learning Center,2018,1,B,District,17,617
9,6791,Clyde High School,2018,1,B,District,12,643
10,23242,Maumee High School,2018,1,B,District,8,650
11,13219,Geneva High School,2018,1,B,District,4,664
12,13219,Geneva High School,2018,1,B,Regional,19,664
13,22798,Marietta High School,2018,1,B,District,16,680
14,39107,Walnut Ridge High School,2018,1,B,District,14,680
15,32276,Rogers High School,2018,1,B,District,11,682
16,2220,Bellefontaine High School,2018,1,B,District,13,683
17,22947,Marlington High School,2018,1,B,District,12,683
18,52803,Carroll ,2018,1,B,District,3,693
19,52803,Carroll ,2018,1,B,Regional,9,693
20,8300,Defiance High School,2018,1,B,District,2,695
21,8300,Defiance High School,2018,1,B,Regional,8,695
22,41558,Wilmington High School,2018,1,B,District,15,696
23,1149,Athens High School,2018,1,B,District,6,698
24,26906,New Philadelphia High School,2018,1,B,District,6,725
25,26906,New Philadelphia High School,2018,1,B,Regional,14,725
26,28068,Norwalk High School,2018,1,B,District,4,736
27,28068,Norwalk High School,2018,1,B,Regional,7,736
28,14944,Hamilton Township High School,2018,1,B,District,21,742
29,68536,Centennial High School,2018,1,B,District,12,752
30,52951,Elder ,2018,1,B,District,3,752
31,52951,Elder ,2018,1,B,Regional,7,752
32,25866,Western Brown High School,2018,1,B,District,8,760
33,12310,Franklin High School,2018,1,B,District,21,761
34,36988,Tecumseh High School,2018,1,B,District,17,763
35,41020,Whitehall Yearling High School,2018,1,B,District,12,768
36,4796,Canfield High School,2018,1,B,District,7,773
37,24596,Midview High School,2018,1,B,District,10,774
38,37515,Tri-Valley High School,2018,1,B,District,11,780
39,17004,Howland High School,2018,1,B,District,12,781
40,14258,Granville High School,2018,1,B,District,8,792
41,8722,Dover High School,2018,1,B,District,10,798
42,3285,Bowling Green High School,2018,1,B,District,7,805
43,52639,Archbishop Hoban ,2018,1,B,District,5,809
