,BLDG_IRN,NAME,YEAR,DIVISION,GENDER,TYPE,PLACE,POPULATION
0,1883,Beallsville High School,2017,3,G,District,11,65
1,126144,Granville Christian Academy ,2017,3,G,District,10,86
2,26765,New Knoxville High School,2017,3,G,District,8,93
3,134619,Emmanuel Christian Academy ,2017,3,G,District,10,104
4,125278,Heartland Christian School ,2017,3,G,District,9,106
5,15172,Hardin Northern High School,2017,3,G,District,7,112
6,53686,"Bishop Hoffman Catholic, St Joseph Central Catholi",2017,3,G,District,8,115
7,53785,St Peter High School and Junior High School ,2017,3,G,District,11,115
8,33050,Russia High School,2017,3,G,District,5,117
9,33050,Russia High School,2017,3,G,Regional,4,117
10,33050,Russia High School,2017,3,G,State,16,117
11,89722,Madison Christian School ,2017,3,G,District,7,123
12,16568,Holgate High School,2017,3,G,District,10,128
13,16436,Hilltop High School,2017,3,G,District,7,131
14,53751,Sandusky Central Catholic School ,2017,3,G,District,4,132
15,53751,Sandusky Central Catholic School ,2017,3,G,Regional,20,132
16,52829,Catholic Central ,2017,3,G,District,8,134
17,52829,Catholic Central ,2017,3,G,Regional,7,134
18,21683,Lowellville High School,2017,3,G,District,12,138
19,52670,Wm V Fisher Catholic ,2017,3,G,District,5,138
20,14373,Green High School,2017,3,G,District,17,140
21,29793,Pettisville High School,2017,3,G,District,2,141
22,29793,Pettisville High School,2017,3,G,Regional,2,141
23,29793,Pettisville High School,2017,3,G,State,6,141
24,8052,Danbury High School,2017,3,G,District,9,142
25,6502,Clay High School,2017,3,G,District,22,144
26,67546,Legacy Christian Academy ,2017,3,G,District,12,147
27,26070,North Baltimore High School,2017,3,G,District,9,147
28,90274,Open Door Christian Schools ,2017,3,G,District,9,148
29,3640,Bristol High School,2017,3,G,District,13,149
30,12377,Franklin Monroe High School,2017,3,G,District,9,153
31,134510,Fairfield Christian Academy ,2017,3,G,District,4,157
32,134510,Fairfield Christian Academy ,2017,3,G,Regional,9,157
33,25361,Monroeville High School,2017,3,G,District,9,162
34,5173,Cedarville High School,2017,3,G,District,14,165
35,53082,Lehman High School ,2017,3,G,District,15,165
36,26112,North Central Junior/High School,2017,3,G,District,8,165
37,53827,St Thomas Aquinas ,2017,3,G,District,5,168
38,41004,Whiteoak High School,2017,3,G,District,23,169
39,30429,Plymouth High School,2017,3,G,District,10,171
40,844,Antwerp Local High School,2017,3,G,District,5,174
41,4085,Buckeye Central High School,2017,3,G,District,7,174
42,53645,St John Elementary and High School ,2017,3,G,District,6,174
43,29074,Pandora-Gilboa High School,2017,3,G,District,9,176
44,9894,Edgerton High School,2017,3,G,District,4,179
45,9894,Edgerton High School,2017,3,G,Regional,21,179
46,31856,River High School,2017,3,G,District,8,179
47,52928,Columbus School For Girls ,2017,3,G,District,9,180
48,3228,Botkins High School,2017,3,G,District,7,183
49,3228,Botkins High School,2017,3,G,Regional,8,183
50,22368,Malvern High School,2017,3,G,District,7,183
51,17798,Jackson-Milton High School,2017,3,G,District,11,188
52,70409,Cincinnati Christian Schools ,2017,3,G,District,7,190
53,15156,Houston High School,2017,3,G,District,11,192
54,34090,Shadyside High School,2017,3,G,District,3,194
55,778,Ansonia High School,2017,3,G,District,13,195
56,1446,Badger High School,2017,3,G,District,3,195
57,1446,Badger High School,2017,3,G,Regional,4,195
58,12641,Fort Loramie Junior-Senior High School,2017,3,G,District,2,197
59,12641,Fort Loramie Junior-Senior High School,2017,3,G,Regional,2,197
60,12641,Fort Loramie Junior-Senior High School,2017,3,G,State,4,197
61,22681,Maplewood High School,2017,3,G,District,2,197
62,22681,Maplewood High School,2017,3,G,Regional,3,197
63,22681,Maplewood High School,2017,3,G,State,15,197
64,7534,Covington High School,2017,3,G,District,4,199
65,7534,Covington High School,2017,3,G,Regional,5,199
66,1420,Ayersville High School,2017,3,G,District,8,204
67,9571,Eastern High School,2017,3,G,District,2,207
68,9571,Eastern High School,2017,3,G,Regional,8,207
69,53769,Norwalk Catholic School ,2017,3,G,District,5,207
70,4556,Caldwell High School,2017,3,G,District,2,208
71,4556,Caldwell High School,2017,3,G,Regional,12,208
72,11502,Felicity-Franklin Local  High School,2017,3,G,District,5,209
73,53355,Newark Catholic ,2017,3,G,District,8,209
74,2873,South Webster Jr/Sr High School,2017,3,G,District,9,209
