,BLDG_IRN,NAME,YEAR,DIVISION,GENDER,TYPE,PLACE,POPULATION
0,97923,East Dayton Christian ,2021,3,G,District,17,79
1,126144,Granville Christian Academy ,2021,3,G,District,9,86
2,134619,Emmanuel Christian Academy ,2021,3,G,District,14,104
3,13870,Fayette Jr/Sr High School,2021,3,G,District,5,109
4,15172,Hardin Northern High School,2021,3,G,District,7,112
5,3376,Bradford High School,2021,3,G,District,16,116
6,33050,Russia High School,2021,3,G,District,8,117
7,40097,Waynesfield-Goshen Local High School,2021,3,G,District,5,126
8,16568,Holgate High School,2021,3,G,District,2,128
9,16568,Holgate High School,2021,3,G,Regional,12,128
10,52670,Wm V Fisher Catholic ,2021,3,G,District,5,138
11,14373,Green High School,2021,3,G,District,11,140
12,29793,Pettisville High School,2021,3,G,District,1,141
13,29793,Pettisville High School,2021,3,G,Regional,11,141
14,42333,Western Reserve High School,2021,3,G,District,7,145
15,15099,South Gallia High School,2021,3,G,District,14,146
16,36244,Strasburg-Franklin High School,2021,3,G,District,6,148
17,12377,Franklin Monroe High School,2021,3,G,District,15,153
18,67637,The Miami Valley School ,2021,3,G,District,6,153
19,134510,Fairfield Christian Academy ,2021,3,G,District,3,157
20,134510,Fairfield Christian Academy ,2021,3,G,Regional,12,157
21,25361,Monroeville High School,2021,3,G,District,8,162
22,5173,Cedarville High School,2021,3,G,District,7,165
23,5173,Cedarville High School,2021,3,G,Regional,9,165
24,844,Antwerp Local High School,2021,3,G,District,6,174
25,4085,Buckeye Central High School,2021,3,G,District,9,174
26,53645,St John Elementary and High School ,2021,3,G,District,3,174
27,53645,St John Elementary and High School ,2021,3,G,Regional,18,174
28,81851,Toledo Christian ,2021,3,G,District,7,175
29,9894,Edgerton High School,2021,3,G,District,5,179
30,3228,Botkins High School,2021,3,G,District,6,183
31,3228,Botkins High School,2021,3,G,Regional,8,183
32,22368,Malvern High School,2021,3,G,District,8,183
33,23218,Mathews High School,2021,3,G,District,9,184
34,36749,Symmes Valley High School,2021,3,G,District,13,189
35,15156,Houston High School,2021,3,G,District,13,192
36,34090,Shadyside High School,2021,3,G,District,9,194
37,778,Ansonia High School,2021,3,G,District,12,195
38,12641,Fort Loramie Junior-Senior High School,2021,3,G,District,1,197
39,12641,Fort Loramie Junior-Senior High School,2021,3,G,Regional,2,197
40,12641,Fort Loramie Junior-Senior High School,2021,3,G,State,3,197
41,22681,Maplewood High School,2021,3,G,District,2,197
42,22681,Maplewood High School,2021,3,G,Regional,5,197
