,BLDG_IRN,NAME,YEAR,DIVISION,GENDER,TYPE,PLACE,POPULATION
0,53520,St Charles Preparatory ,2020,1,B,District,16,519
1,53140,Lasalle ,2020,1,B,District,9,543
2,54015,St Johns Jesuit ,2020,1,B,District,5,570
3,53595,St Francis De Sales School ,2020,1,B,District,1,601
4,53595,St Francis De Sales School ,2020,1,B,Regional,6,601
5,23838,McKinley High School,2020,1,B,District,15,645
6,13219,Geneva High School,2020,1,B,District,10,664
7,22798,Marietta High School,2020,1,B,District,13,680
8,2220,Bellefontaine High School,2020,1,B,District,6,683
9,41558,Wilmington High School,2020,1,B,District,9,696
10,1149,Athens High School,2020,1,B,District,7,698
11,26906,New Philadelphia High School,2020,1,B,District,15,725
12,24414,Miami Trace High School,2020,1,B,District,11,732
13,5207,Celina High School,2020,1,B,District,9,735
14,28068,Norwalk High School,2020,1,B,District,8,736
15,14944,Hamilton Township High School,2020,1,B,District,13,742
16,52951,Elder ,2020,1,B,District,5,752
17,37291,Tippecanoe High School,2020,1,B,District,2,752
18,37291,Tippecanoe High School,2020,1,B,Regional,11,752
19,27995,Norton High School,2020,1,B,District,21,758
20,25866,Western Brown High School,2020,1,B,District,12,760
21,12310,Franklin High School,2020,1,B,District,11,761
22,36988,Tecumseh High School,2020,1,B,District,10,763
23,41020,Whitehall Yearling High School,2020,1,B,District,10,768
24,4796,Canfield High School,2020,1,B,District,12,773
25,24596,Midview High School,2020,1,B,District,12,774
26,17004,Howland High School,2020,1,B,District,9,781
27,14258,Granville High School,2020,1,B,District,7,792
28,8722,Dover High School,2020,1,B,District,14,798
29,3285,Bowling Green High School,2020,1,B,District,1,805
30,3285,Bowling Green High School,2020,1,B,Regional,2,805
31,3285,Bowling Green High School,2020,1,B,State,20,805
32,52639,Archbishop Hoban ,2020,1,B,District,15,809
33,139311,Monroe High School,2020,1,B,District,8,809
34,1123,Lakeside High School,2020,1,B,District,20,812
35,21576,Louisville High School,2020,1,B,District,4,817
36,21576,Louisville High School,2020,1,B,Regional,6,817
37,21576,Louisville High School,2020,1,B,State,8,817
38,14621,Greenville Senior High School,2020,1,B,District,10,818
39,18770,Kenston High School,2020,1,B,District,2,821
40,18770,Kenston High School,2020,1,B,Regional,3,821
41,18770,Kenston High School,2020,1,B,State,5,821
42,39164,Wapakoneta High School,2020,1,B,District,6,826
43,13920,Goshen High School,2020,1,B,District,11,832
44,4416,Butler High School,2020,1,B,District,8,841
45,2154,Bellbrook High School,2020,1,B,District,4,847
46,2154,Bellbrook High School,2020,1,B,Regional,14,847
47,6296,Chillicothe High School,2020,1,B,District,13,856
48,64683,Northwest High School,2020,1,B,District,13,857
49,53306,Moeller ,2020,1,B,District,9,869
50,32243,Rocky River High School,2020,1,B,District,3,872
51,32243,Rocky River High School,2020,1,B,Regional,17,872
52,31393,Revere High School,2020,1,B,District,6,877
53,32755,Ross High School,2020,1,B,District,13,881
54,1081,Ashland High School,2020,1,B,District,2,886
55,1081,Ashland High School,2020,1,B,Regional,4,886
56,30098,Piqua High School,2020,1,B,District,7,888
57,53546,St Edward ,2020,1,B,District,1,895
58,53546,St Edward ,2020,1,B,Regional,20,895
59,7054,Columbian High School,2020,1,B,District,3,900
60,7054,Columbian High School,2020,1,B,Regional,5,900
61,22178,Madison High School,2020,1,B,District,9,903
62,36863,Talawanda High School,2020,1,B,District,5,908
63,42218,Wooster High School,2020,1,B,District,14,909
64,22111,Madison High School,2020,1,B,District,16,912
65,7310,Copley High School,2020,1,B,District,7,917
66,38588,West Carrollton High School,2020,1,B,District,11,918
67,463,Alliance High School,2020,1,B,District,19,937
68,34561,Sidney High School,2020,1,B,District,9,947
69,5876,Chardon High School,2020,1,B,District,6,949
70,5876,Chardon High School,2020,1,B,Regional,21,949
71,21246,Logan High School,2020,1,B,District,16,958
72,27680,Northland High School,2020,1,B,District,14,965
73,1297,Aurora High School,2020,1,B,District,13,966
74,23119,Marysville High School,2020,1,B,District,9,982
75,8298,Lima Senior High School,2020,1,B,District,11,985
76,25932,Mount Vernon High School,2020,1,B,District,12,994
77,35477,Springfield High School,2020,1,B,District,6,1003
78,40964,Whetstone High School,2020,1,B,District,14,1004
79,16154,Highland High School,2020,1,B,District,3,1006
