,BLDG_IRN,NAME,YEAR,DIVISION,GENDER,TYPE,PLACE,POPULATION
0,53272,Mercy McAuley High School ,2018,1,G,District,4,420
1,53272,Mercy McAuley High School ,2018,1,G,Regional,18,420
2,53942,Ursuline Academy ,2018,1,G,District,3,503
3,53942,Ursuline Academy ,2018,1,G,Regional,10,503
4,53389,Notre Dame Academy ,2018,1,G,District,2,530
5,53389,Notre Dame Academy ,2018,1,G,Regional,1,530
6,53389,Notre Dame Academy ,2018,1,G,State,12,530
7,53884,Seton ,2018,1,G,District,6,631
8,53835,St Ursula Academy ,2018,1,G,District,5,646
9,53835,St Ursula Academy ,2018,1,G,Regional,15,646
10,13219,Geneva High School,2018,1,G,District,5,664
11,13219,Geneva High School,2018,1,G,Regional,20,664
12,22798,Marietta High School,2018,1,G,District,9,680
13,53702,St Joseph Academy ,2018,1,G,District,4,682
14,53702,St Joseph Academy ,2018,1,G,Regional,8,682
15,138198,Eastmoor Academy,2018,1,G,District,15,685
16,53215,Magnificat ,2018,1,G,District,8,695
17,41558,Wilmington High School,2018,1,G,District,14,696
18,53322,Mount Notre Dame ,2018,1,G,District,8,726
19,14944,Hamilton Township High School,2018,1,G,District,15,742
20,25866,Western Brown High School,2018,1,G,District,10,760
21,36988,Tecumseh High School,2018,1,G,District,10,763
22,41020,Whitehall Yearling High School,2018,1,G,District,16,768
23,4796,Canfield High School,2018,1,G,District,10,773
24,24596,Midview High School,2018,1,G,District,10,774
25,37515,Tri-Valley High School,2018,1,G,District,10,780
26,14258,Granville High School,2018,1,G,District,1,792
27,14258,Granville High School,2018,1,G,Regional,2,792
28,14258,Granville High School,2018,1,G,State,3,792
29,3285,Bowling Green High School,2018,1,G,District,9,805
30,1123,Lakeside High School,2018,1,G,District,11,812
31,21576,Louisville High School,2018,1,G,District,2,817
32,21576,Louisville High School,2018,1,G,Regional,7,817
33,21576,Louisville High School,2018,1,G,State,19,817
34,18770,Kenston High School,2018,1,G,District,2,821
35,18770,Kenston High School,2018,1,G,Regional,12,821
