,BLDG_IRN,NAME,YEAR,DIVISION,GENDER,TYPE,PLACE,POPULATION
204,1966,Beavercreek High School,2021,1,B,District,5,1644
205,1966,Beavercreek High School,2021,1,B,Regional,8,1644
206,33084,Rutherford B Hayes High School,2021,1,B,District,9,1648
207,10462,Elyria High School,2021,1,B,District,22,1664
208,24562,Middletown High School,2021,1,B,District,15,1670
209,40048,Wayne High School,2021,1,B,District,10,1671
210,40048,Wayne High School,2021,1,B,Regional,-1,1671
211,9091,Hilliard Bradley High School,2021,1,B,District,8,1695
212,36210,Stow-Munroe Falls High School,2021,1,B,District,12,1731
213,42283,Thomas Worthington High School,2021,1,B,District,6,1743
214,42283,Thomas Worthington High School,2021,1,B,Regional,9,1743
215,6890,Colerain High School,2021,1,B,District,14,1758
216,14704,Groveport Madison High School,2021,1,B,District,13,1765
217,29876,Pickerington High School Central,2021,1,B,District,5,1799
218,29876,Pickerington High School Central,2021,1,B,Regional,12,1799
219,24570,Berea-Midpark High School,2021,1,B,District,16,1801
220,19752,Lancaster High School,2021,1,B,District,2,1816
221,19752,Lancaster High School,2021,1,B,Regional,3,1816
222,19752,Lancaster High School,2021,1,B,State,9,1816
223,61325,Grove City High School,2021,1,B,District,8,1847
224,64758,Dublin Coffman High School,2021,1,B,District,1,1850
225,64758,Dublin Coffman High School,2021,1,B,Regional,2,1850
226,64758,Dublin Coffman High School,2021,1,B,State,2,1850
227,11627,Findlay High School,2021,1,B,District,2,1865
228,11627,Findlay High School,2021,1,B,Regional,6,1865
229,37945,Upper Arlington High School,2021,1,B,District,6,1867
230,36277,Strongsville High School,2021,1,B,District,5,1874
231,36277,Strongsville High School,2021,1,B,Regional,15,1874
232,16303,Hilliard Davidson High School,2021,1,B,District,1,1877
233,16303,Hilliard Davidson High School,2021,1,B,Regional,1,1877
234,16303,Hilliard Davidson High School,2021,1,B,State,3,1877
235,146928,Dublin Jerome High School,2021,1,B,District,1,1904
236,146928,Dublin Jerome High School,2021,1,B,Regional,4,1904
237,146928,Dublin Jerome High School,2021,1,B,State,17,1904
238,145953,Olentangy Liberty High School,2021,1,B,District,14,1922
239,9286,Orange High School,2021,1,B,District,3,1926
240,9286,Orange High School,2021,1,B,Regional,6,1926
241,39073,Walnut Hills High School,2021,1,B,District,6,1927
242,39073,Walnut Hills High School,2021,1,B,Regional,-1,1927
243,24745,Milford Sr High School,2021,1,B,District,6,1960
244,6593,Springboro High School,2021,1,B,District,3,1972
245,6593,Springboro High School,2021,1,B,Regional,3,1972
246,6593,Springboro High School,2021,1,B,State,14,1972
247,17772,Jackson High School,2021,1,B,District,3,1979
248,17772,Jackson High School,2021,1,B,Regional,3,1979
249,17772,Jackson High School,2021,1,B,State,7,1979
250,3970,Brunswick High School,2021,1,B,District,3,1988
251,3970,Brunswick High School,2021,1,B,Regional,13,1988
252,3970,Brunswick High School,2021,1,B,State,-1,1988
253,24075,Medina High School,2021,1,B,District,2,2010
254,24075,Medina High School,2021,1,B,Regional,5,2010
255,24075,Medina High School,2021,1,B,State,13,2010
256,28365,GlenOak High School,2021,1,B,District,5,2115
257,28365,GlenOak High School,2021,1,B,Regional,8,2115
258,28365,GlenOak High School,2021,1,B,State,11,2115
259,11049,Fairfield High School,2021,1,B,District,11,2128
260,36822,Hamilton High School,2021,1,B,District,16,2169
261,13532,West Clermont High School,2021,1,B,District,10,2189
262,41046,Whitmer High School,2021,1,B,District,5,2203
