,BLDG_IRN,NAME,YEAR,DIVISION,GENDER,TYPE,PLACE,POPULATION
0,1883,Beallsville High School,2017,3,B,District,8,65
1,126144,Granville Christian Academy ,2017,3,B,District,6,86
2,26765,New Knoxville High School,2017,3,B,District,11,93
3,52860,Central Christian ,2017,3,B,District,12,95
4,36327,Stryker High School,2017,3,B,District,4,98
5,36327,Stryker High School,2017,3,B,Regional,20,98
6,134619,Emmanuel Christian Academy ,2017,3,B,District,32,104
7,125278,Heartland Christian School ,2017,3,B,District,10,106
8,13870,Fayette Jr/Sr High School,2017,3,B,District,6,109
9,17582,Jackson Center High School,2017,3,B,District,12,109
10,15172,Hardin Northern High School,2017,3,B,District,9,112
11,23879,Mckinley High School,2017,3,B,District,11,112
12,53686,"Bishop Hoffman Catholic, St Joseph Central Catholi",2017,3,B,District,5,115
13,53785,St Peter High School and Junior High School ,2017,3,B,District,9,115
14,3376,Bradford High School,2017,3,B,District,19,116
15,33050,Russia High School,2017,3,B,District,14,117
16,53363,Notre Dame Jr/Sr ,2017,3,B,District,21,119
17,28936,Ottoville High School,2017,3,B,District,8,122
18,21717,Lucas High School,2017,3,B,District,10,124
19,10090,Edon High School,2017,3,B,District,13,125
20,40097,Waynesfield-Goshen Local High School,2017,3,B,District,12,126
21,16568,Holgate High School,2017,3,B,District,9,128
22,84202,Middletown Christian ,2017,3,B,District,9,129
23,16436,Hilltop High School,2017,3,B,District,12,131
24,53751,Sandusky Central Catholic School ,2017,3,B,District,2,132
25,53751,Sandusky Central Catholic School ,2017,3,B,Regional,7,132
26,53751,Sandusky Central Catholic School ,2017,3,B,State,19,132
27,21477,Lordstown High School,2017,3,B,District,10,134
28,39081,Millersport Jr/Sr High School,2017,3,B,District,9,138
29,52670,Wm V Fisher Catholic ,2017,3,B,District,6,138
30,26955,New Riegel High School,2017,3,B,District,9,139
31,14373,Green High School,2017,3,B,District,5,140
32,14373,Green High School,2017,3,B,Regional,15,140
33,29793,Pettisville High School,2017,3,B,District,5,141
34,67546,Legacy Christian Academy ,2017,3,B,District,16,147
35,26070,North Baltimore High School,2017,3,B,District,10,147
36,18606,Kalida High School,2017,3,B,District,7,148
37,90274,Open Door Christian Schools ,2017,3,B,District,6,148
38,3640,Bristol High School,2017,3,B,District,8,149
39,52795,Cardinal Stritch Catholic High School & Academy ,2017,3,B,District,13,149
40,11163,Fairlawn High School,2017,3,B,District,28,149
41,12377,Franklin Monroe High School,2017,3,B,District,13,153
42,67637,The Miami Valley School ,2017,3,B,District,24,153
43,134510,Fairfield Christian Academy ,2017,3,B,District,11,157
44,27169,Newton High School,2017,3,B,District,21,158
45,5173,Cedarville High School,2017,3,B,District,3,165
46,5173,Cedarville High School,2017,3,B,Regional,5,165
47,53082,Lehman High School ,2017,3,B,District,30,165
48,26112,North Central Junior/High School,2017,3,B,District,9,165
49,25122,Mississinawa Valley JR/SR High School,2017,3,B,District,31,168
50,41004,Whiteoak High School,2017,3,B,District,7,169
51,30429,Plymouth High School,2017,3,B,District,7,171
52,844,Antwerp Local High School,2017,3,B,District,3,174
53,844,Antwerp Local High School,2017,3,B,Regional,21,174
54,4085,Buckeye Central High School,2017,3,B,District,10,174
55,7401,Cory-Rawson High School,2017,3,B,District,10,176
56,9589,Eastern High School,2017,3,B,District,10,176
57,9894,Edgerton High School,2017,3,B,District,3,179
58,9894,Edgerton High School,2017,3,B,Regional,17,179
59,3228,Botkins High School,2017,3,B,District,8,183
60,3228,Botkins High School,2017,3,B,Regional,9,183
61,35196,Southeastern  Sr. High School,2017,3,B,District,27,183
62,23218,Mathews High School,2017,3,B,District,11,184
63,17798,Jackson-Milton High School,2017,3,B,District,5,188
64,36749,Symmes Valley High School,2017,3,B,District,20,189
65,70409,Cincinnati Christian Schools ,2017,3,B,District,8,190
66,16352,Hillsdale High School,2017,3,B,District,13,190
67,15156,Houston High School,2017,3,B,District,2,192
68,15156,Houston High School,2017,3,B,Regional,3,192
69,15156,Houston High School,2017,3,B,State,15,192
70,778,Ansonia High School,2017,3,B,District,25,195
71,1446,Badger High School,2017,3,B,District,4,195
72,1446,Badger High School,2017,3,B,Regional,9,195
73,11460,Fayetteville-Perry High School,2017,3,B,District,10,195
74,53165,Lima Central Catholic ,2017,3,B,District,6,195
75,12641,Fort Loramie Junior-Senior High School,2017,3,B,District,1,197
76,12641,Fort Loramie Junior-Senior High School,2017,3,B,Regional,1,197
77,12641,Fort Loramie Junior-Senior High School,2017,3,B,State,7,197
78,22681,Maplewood High School,2017,3,B,District,2,197
79,22681,Maplewood High School,2017,3,B,Regional,5,197
80,7534,Covington High School,2017,3,B,District,22,199
81,1420,Ayersville High School,2017,3,B,District,6,204
82,17665,McComb Local Jr/Sr High School,2017,3,B,District,7,205
83,53769,Norwalk Catholic School ,2017,3,B,District,4,207
84,53769,Norwalk Catholic School ,2017,3,B,Regional,10,207
85,4556,Caldwell High School,2017,3,B,District,2,208
86,4556,Caldwell High School,2017,3,B,Regional,8,208
87,11502,Felicity-Franklin Local  High School,2017,3,B,District,5,209
88,53355,Newark Catholic ,2017,3,B,District,3,209
89,53355,Newark Catholic ,2017,3,B,Regional,11,209
90,2873,South Webster Jr/Sr High School,2017,3,B,District,14,209
91,125310,Troy Christian High School ,2017,3,B,District,5,209
