,BLDG_IRN,NAME,YEAR,DIVISION,GENDER,TYPE,PLACE,POPULATION
0,97923,East Dayton Christian ,2019,3,B,District,21,79
1,26765,New Knoxville High School,2019,3,B,District,9,93
2,52860,Central Christian ,2019,3,B,District,13,95
3,134619,Emmanuel Christian Academy ,2019,3,B,District,11,104
4,125278,Heartland Christian School ,2019,3,B,District,8,106
5,13870,Fayette Jr/Sr High School,2019,3,B,District,11,109
6,17582,Jackson Center High School,2019,3,B,District,17,109
7,37960,Upper Scioto Valley High School,2019,3,B,District,6,111
8,15172,Hardin Northern High School,2019,3,B,District,8,112
9,23879,Mckinley High School,2019,3,B,District,12,112
10,53686,"Bishop Hoffman Catholic, St Joseph Central Catholi",2019,3,B,District,5,115
11,53785,St Peter High School and Junior High School ,2019,3,B,District,7,115
12,3376,Bradford High School,2019,3,B,District,30,116
13,53116,Central Catholic Tuscarawas Co ,2019,3,B,District,7,116
14,33050,Russia High School,2019,3,B,District,6,117
15,33050,Russia High School,2019,3,B,Regional,8,117
16,28936,Ottoville High School,2019,3,B,District,5,122
17,89722,Madison Christian School ,2019,3,B,District,8,123
18,52779,Calvert Catholic Schools ,2019,3,B,District,6,125
19,10090,Edon High School,2019,3,B,District,16,125
20,40097,Waynesfield-Goshen Local High School,2019,3,B,District,2,126
21,40097,Waynesfield-Goshen Local High School,2019,3,B,Regional,18,126
22,16568,Holgate High School,2019,3,B,District,1,128
23,16568,Holgate High School,2019,3,B,Regional,4,128
24,16568,Holgate High School,2019,3,B,State,18,128
25,16436,Hilltop High School,2019,3,B,District,10,131
26,53751,Sandusky Central Catholic School ,2019,3,B,District,1,132
27,53751,Sandusky Central Catholic School ,2019,3,B,Regional,2,132
28,53751,Sandusky Central Catholic School ,2019,3,B,State,11,132
29,21477,Lordstown High School,2019,3,B,District,10,134
30,31666,Ridgedale Jr/Sr High School,2019,3,B,District,9,136
31,39081,Millersport Jr/Sr High School,2019,3,B,District,10,138
32,52670,Wm V Fisher Catholic ,2019,3,B,District,2,138
33,52670,Wm V Fisher Catholic ,2019,3,B,Regional,7,138
34,26955,New Riegel High School,2019,3,B,District,4,139
35,26955,New Riegel High School,2019,3,B,Regional,13,139
36,126615,Miami Valley Christian Academy ,2019,3,B,District,3,142
37,126615,Miami Valley Christian Academy ,2019,3,B,Regional,10,142
38,42333,Western Reserve High School,2019,3,B,District,11,145
39,67546,Legacy Christian Academy ,2019,3,B,District,9,147
40,26070,North Baltimore High School,2019,3,B,District,13,147
