,BLDG_IRN,NAME,YEAR,DIVISION,GENDER,TYPE,PLACE,POPULATION
0,6940,Collinwood High School,2021,2,B,District,19,278
1,14092,Grand Valley High School,2021,2,B,District,15,279
2,52662,Benedictine ,2021,2,B,District,18,285
3,29991,Piketon Jr/Sr High School,2021,2,B,District,18,292
4,32607,Rootstown/Ward Davis Bldg High School,2021,2,B,District,15,314
5,119,Oak Hill Middle/High School,2021,2,B,District,6,317
6,119,Oak Hill Middle/High School,2021,2,B,Regional,21,317
7,10439,Elmwood High School,2021,2,B,District,6,323
8,27888,Northwestern High School,2021,2,B,District,8,331
9,37671,Tuslaw High School,2021,2,B,District,9,331
10,37671,Tuslaw High School,2021,2,B,Regional,-1,331
11,30304,Pleasant High School,2021,2,B,District,3,337
12,30304,Pleasant High School,2021,2,B,Regional,12,337
13,13110,James A Garfield High School,2021,2,B,District,11,345
14,29454,Paulding High School,2021,2,B,District,12,346
15,29454,Paulding High School,2021,2,B,Regional,-1,346
16,13243,Genoa Area High School,2021,2,B,District,5,352
17,27854,Northwest High School,2021,2,B,District,8,352
18,27854,Northwest High School,2021,2,B,Regional,18,352
19,9779,Eastwood I High School,2021,2,B,District,10,357
20,6312,Chippewa Jr./Sr. High School,2021,2,B,District,10,359
21,31732,Ridgewood High School,2021,2,B,District,11,360
22,38760,West Liberty-Salem Middle/High School,2021,2,B,District,3,361
23,38760,West Liberty-Salem Middle/High School,2021,2,B,Regional,2,361
24,38760,West Liberty-Salem Middle/High School,2021,2,B,State,6,361
25,8995,East Clinton High School,2021,2,B,District,8,362
26,3863,Brookville High School,2021,2,B,District,10,366
27,24984,Milton-Union High School,2021,2,B,District,12,366
28,24984,Milton-Union High School,2021,2,B,Regional,-1,366
29,28779,Orrville High School,2021,2,B,District,16,366
30,4507,Harrison Central Jr./Sr. High School,2021,2,B,District,13,371
31,5819,Champion High School,2021,2,B,District,18,372
32,11171,Fairless High School,2021,2,B,District,13,372
33,20420,Liberty Union High School,2021,2,B,District,4,372
34,41319,Willard High School,2021,2,B,District,10,372
35,10041,Edison High School,2021,2,B,District,6,375
36,10041,Edison High School,2021,2,B,Regional,-1,375
37,26393,North Union High School,2021,2,B,District,7,378
38,7211,Conneaut High School,2021,2,B,District,17,379
39,17194,Huron High School,2021,2,B,District,4,385
40,17194,Huron High School,2021,2,B,Regional,7,385
41,2840,Blanchester High School,2021,2,B,District,8,390
42,38414,Versailles High School,2021,2,B,District,11,390
43,6619,Clearview High School,2021,2,B,District,20,392
44,28860,Otsego High School,2021,2,B,District,1,392
45,28860,Otsego High School,2021,2,B,Regional,8,392
46,19364,River Valley High School,2021,2,B,District,12,394
47,19216,Kirtland High School,2021,2,B,District,16,395
48,562,Amanda-Clearcreek High School,2021,2,B,District,11,398
49,6635,Clermont Northeastern High School,2021,2,B,District,4,399
50,6635,Clermont Northeastern High School,2021,2,B,Regional,-1,399
51,17491,Ironton High School,2021,2,B,District,20,399
52,7724,Crestwood High School,2021,2,B,District,12,400
53,33563,Sandy Valley High School,2021,2,B,District,14,401
54,2576,Bethel High School,2021,2,B,District,17,403
55,38042,Utica High School,2021,2,B,District,3,404
56,38042,Utica High School,2021,2,B,Regional,7,404
57,38042,Utica High School,2021,2,B,State,15,404
58,18960,Keystone High School,2021,2,B,District,6,407
59,18960,Keystone High School,2021,2,B,Regional,9,407
60,42572,Zane Trace High School,2021,2,B,District,14,410
61,18218,Edison High School,2021,2,B,District,17,413
62,23036,Martins Ferry High School,2021,2,B,District,8,414
63,21956,Madeira High School,2021,2,B,District,2,415
64,21956,Madeira High School,2021,2,B,Regional,10,415
65,28183,Oak Harbor High School,2021,2,B,District,7,415
66,28183,Oak Harbor High School,2021,2,B,Regional,-1,415
67,37846,Union Local High School,2021,2,B,District,15,416
68,52704,Bishop Ready ,2021,2,B,District,8,421
69,41202,Wickliffe High School,2021,2,B,District,9,423
70,19661,Lakeview High School,2021,2,B,District,8,424
71,23960,Meadowbrook High School,2021,2,B,District,9,424
72,6528,Claymont High School,2021,2,B,District,10,427
73,27896,Northwestern Junior/Senior High School,2021,2,B,District,19,427
74,14571,Greenon High School,2021,2,B,District,15,428
75,52910,Columbus Academy ,2021,2,B,District,8,431
76,17905,Jefferson Area Sr High School,2021,2,B,District,5,431
77,17905,Jefferson Area Sr High School,2021,2,B,Regional,18,431
78,2568,Bethel Tate High School,2021,2,B,District,5,432
79,12773,Galion High School,2021,2,B,District,5,432
80,12773,Galion High School,2021,2,B,Regional,-1,432
81,34256,Shawnee Middle School/High School,2021,2,B,District,5,432
82,34256,Shawnee Middle School/High School,2021,2,B,Regional,9,432
83,17343,Indian Lake High School,2021,2,B,District,14,433
84,32763,Rossford High School,2021,2,B,District,11,436
85,40683,Westfall High School,2021,2,B,District,3,443
86,40683,Westfall High School,2021,2,B,Regional,13,443
87,25056,Minerva High School,2021,2,B,District,1,447
