,BLDG_IRN,NAME,YEAR,DIVISION,GENDER,TYPE,PLACE,POPULATION
0,1883,Beallsville High School,2018,3,G,District,13,65
1,126144,Granville Christian Academy ,2018,3,G,District,9,86
2,26765,New Knoxville High School,2018,3,G,District,10,93
3,52860,Central Christian ,2018,3,G,District,12,95
4,36327,Stryker High School,2018,3,G,District,7,98
5,134619,Emmanuel Christian Academy ,2018,3,G,District,18,104
6,125278,Heartland Christian School ,2018,3,G,District,10,106
7,13870,Fayette Jr/Sr High School,2018,3,G,District,6,109
8,17582,Jackson Center High School,2018,3,G,District,20,109
9,15172,Hardin Northern High School,2018,3,G,District,10,112
10,53785,St Peter High School and Junior High School ,2018,3,G,District,13,115
11,3376,Bradford High School,2018,3,G,District,4,116
12,3376,Bradford High School,2018,3,G,Regional,3,116
13,3376,Bradford High School,2018,3,G,State,11,116
14,33050,Russia High School,2018,3,G,District,6,117
15,33050,Russia High School,2018,3,G,Regional,8,117
16,89722,Madison Christian School ,2018,3,G,District,10,123
17,40097,Waynesfield-Goshen Local High School,2018,3,G,District,9,126
18,16436,Hilltop High School,2018,3,G,District,11,131
19,53751,Sandusky Central Catholic School ,2018,3,G,District,5,132
20,52829,Catholic Central ,2018,3,G,District,5,134
21,52829,Catholic Central ,2018,3,G,Regional,6,134
22,21477,Lordstown High School,2018,3,G,District,9,134
23,52670,Wm V Fisher Catholic ,2018,3,G,District,7,138
24,26955,New Riegel High School,2018,3,G,District,10,139
25,14373,Green High School,2018,3,G,District,14,140
26,29793,Pettisville High School,2018,3,G,District,2,141
27,29793,Pettisville High School,2018,3,G,Regional,11,141
28,8052,Danbury High School,2018,3,G,District,7,142
29,26070,North Baltimore High School,2018,3,G,District,7,147
30,90274,Open Door Christian Schools ,2018,3,G,District,10,148
31,67637,The Miami Valley School ,2018,3,G,District,17,153
32,134510,Fairfield Christian Academy ,2018,3,G,District,3,157
33,134510,Fairfield Christian Academy ,2018,3,G,Regional,10,157
34,27169,Newton High School,2018,3,G,District,16,158
35,25361,Monroeville High School,2018,3,G,District,9,162
36,5173,Cedarville High School,2018,3,G,District,19,165
37,53082,Lehman High School ,2018,3,G,District,15,165
38,53827,St Thomas Aquinas ,2018,3,G,District,6,168
39,41004,Whiteoak High School,2018,3,G,District,16,169
40,30429,Plymouth High School,2018,3,G,District,11,171
41,844,Antwerp Local High School,2018,3,G,District,8,174
42,4085,Buckeye Central High School,2018,3,G,District,10,174
43,53645,St John Elementary and High School ,2018,3,G,District,4,174
44,53645,St John Elementary and High School ,2018,3,G,Regional,12,174
45,9894,Edgerton High School,2018,3,G,District,4,179
46,9894,Edgerton High School,2018,3,G,Regional,22,179
47,31856,River High School,2018,3,G,District,7,179
48,52928,Columbus School For Girls ,2018,3,G,District,3,180
49,52928,Columbus School For Girls ,2018,3,G,Regional,14,180
50,3228,Botkins High School,2018,3,G,District,8,183
51,3228,Botkins High School,2018,3,G,Regional,7,183
52,22368,Malvern High School,2018,3,G,District,8,183
53,70409,Cincinnati Christian Schools ,2018,3,G,District,6,190
54,15156,Houston High School,2018,3,G,District,11,192
55,778,Ansonia High School,2018,3,G,District,14,195
56,1446,Badger High School,2018,3,G,District,4,195
57,1446,Badger High School,2018,3,G,Regional,9,195
58,12641,Fort Loramie Junior-Senior High School,2018,3,G,District,2,197
59,12641,Fort Loramie Junior-Senior High School,2018,3,G,Regional,2,197
60,12641,Fort Loramie Junior-Senior High School,2018,3,G,State,2,197
61,22681,Maplewood High School,2018,3,G,District,2,197
62,22681,Maplewood High School,2018,3,G,Regional,5,197
63,7534,Covington High School,2018,3,G,District,7,199
64,7534,Covington High School,2018,3,G,Regional,9,199
65,1420,Ayersville High School,2018,3,G,District,5,204
66,9571,Eastern High School,2018,3,G,District,2,207
67,9571,Eastern High School,2018,3,G,Regional,13,207
68,53769,Norwalk Catholic School ,2018,3,G,District,2,207
69,53769,Norwalk Catholic School ,2018,3,G,Regional,24,207
70,4556,Caldwell High School,2018,3,G,District,1,208
71,4556,Caldwell High School,2018,3,G,Regional,6,208
72,53355,Newark Catholic ,2018,3,G,District,4,209
73,53355,Newark Catholic ,2018,3,G,Regional,9,209
74,2873,South Webster Jr/Sr High School,2018,3,G,District,11,209
75,8136,David Anderson Jr/Sr High School,2018,3,G,District,11,211
76,25148,Mogadore High School,2018,3,G,District,8,212
77,25437,Montpelier High School,2018,3,G,District,9,213
78,26823,New London High School,2018,3,G,District,2,217
79,26823,New London High School,2018,3,G,Regional,7,217
80,26823,New London High School,2018,3,G,State,14,217
81,29025,Paint Valley High School,2018,3,G,District,12,219
82,28506,Old Fort High School,2018,3,G,District,9,222
83,23515,McDonald High School,2018,3,G,District,1,224
84,23515,McDonald High School,2018,3,G,Regional,2,224
85,23515,McDonald High School,2018,3,G,State,6,224
86,27060,Newcomerstown High School,2018,3,G,District,3,224
87,8433,Patrick Henry High School,2018,3,G,District,5,224
88,7666,Crestview High School,2018,3,G,District,3,226
89,7666,Crestview High School,2018,3,G,Regional,8,226
90,7666,Crestview High School,2018,3,G,State,18,226
91,20149,Leipsic High School,2018,3,G,District,7,227
92,31815,Ripley-Union-Lewis-Huntington High School,2018,3,G,District,9,228
93,29538,Peebles High School,2018,3,G,District,1,229
94,29538,Peebles High School,2018,3,G,Regional,5,229
95,29538,Peebles High School,2018,3,G,State,13,229
96,52837,Catholic Central ,2018,3,G,District,11,233
