,BLDG_IRN,NAME,YEAR,DIVISION,GENDER,TYPE,PLACE,POPULATION
0,4184,Bucyrus Secondary School,2017,2,B,District,11,279
1,14092,Grand Valley High School,2017,2,B,District,12,279
2,2782,Black River High School,2017,2,B,District,8,283
3,52662,Benedictine ,2017,2,B,District,9,285
4,29991,Piketon Jr/Sr High School,2017,2,B,District,6,292
5,29991,Piketon Jr/Sr High School,2017,2,B,Regional,14,292
6,10769,Eastern High School,2017,2,B,District,8,310
7,10769,Eastern High School,2017,2,B,Regional,22,310
8,752,Anna High School,2017,2,B,District,13,311
9,27771,Northridge High School,2017,2,B,District,9,318
10,146480,Rock Hill Sr High School,2017,2,B,District,3,319
11,146480,Rock Hill Sr High School,2017,2,B,Regional,8,319
12,2139,Bellaire High School,2017,2,B,District,9,324
13,37663,Tuscarawas Valley High School,2017,2,B,District,13,327
14,27888,Northwestern High School,2017,2,B,District,7,331
15,37671,Tuslaw High School,2017,2,B,District,2,331
16,37671,Tuslaw High School,2017,2,B,Regional,9,331
17,30304,Pleasant High School,2017,2,B,District,6,337
18,36582,Swanton High School,2017,2,B,District,4,342
19,13110,James A Garfield High School,2017,2,B,District,1,345
20,13110,James A Garfield High School,2017,2,B,Regional,13,345
21,29454,Paulding High School,2017,2,B,District,11,346
22,13243,Genoa Area High School,2017,2,B,District,2,352
23,13243,Genoa Area High School,2017,2,B,Regional,10,352
24,27854,Northwest High School,2017,2,B,District,15,352
25,26229,South Range High School,2017,2,B,District,5,354
26,26229,South Range High School,2017,2,B,Regional,15,354
27,935,Archbold High School,2017,2,B,District,3,357
28,9779,Eastwood I High School,2017,2,B,District,1,357
29,9779,Eastwood I High School,2017,2,B,Regional,8,357
30,6312,Chippewa Jr./Sr. High School,2017,2,B,District,5,359
31,31732,Ridgewood High School,2017,2,B,District,16,360
32,8995,East Clinton High School,2017,2,B,District,9,362
33,11668,Finneytown Secondary Campus,2017,2,B,District,9,363
34,3863,Brookville High School,2017,2,B,District,2,366
35,3863,Brookville High School,2017,2,B,Regional,4,366
36,3863,Brookville High School,2017,2,B,State,16,366
37,24984,Milton-Union High School,2017,2,B,District,7,366
38,24984,Milton-Union High School,2017,2,B,Regional,13,366
39,28779,Orrville High School,2017,2,B,District,9,366
40,4507,Harrison Central Jr./Sr. High School,2017,2,B,District,6,371
41,4507,Harrison Central Jr./Sr. High School,2017,2,B,Regional,18,371
42,5819,Champion High School,2017,2,B,District,8,372
43,11171,Fairless High School,2017,2,B,District,3,372
44,11171,Fairless High School,2017,2,B,Regional,16,372
45,20420,Liberty Union High School,2017,2,B,District,11,372
46,41319,Willard High School,2017,2,B,District,6,372
47,10041,Edison High School,2017,2,B,District,3,375
48,10041,Edison High School,2017,2,B,Regional,4,375
49,26393,North Union High School,2017,2,B,District,6,378
50,7211,Conneaut High School,2017,2,B,District,12,379
51,35170,Southeast High School,2017,2,B,District,14,382
52,17194,Huron High School,2017,2,B,District,4,385
53,17194,Huron High School,2017,2,B,Regional,7,385
54,38836,West Muskingum High School,2017,2,B,District,21,386
55,2840,Blanchester High School,2017,2,B,District,7,390
56,38414,Versailles High School,2017,2,B,District,10,390
57,28860,Otsego High School,2017,2,B,District,4,392
58,37564,Triway High School,2017,2,B,District,5,392
59,37564,Triway High School,2017,2,B,Regional,7,392
60,24372,Miami East High School,2017,2,B,District,8,394
61,19364,River Valley High School,2017,2,B,District,9,394
62,19364,River Valley High School,2017,2,B,Regional,21,394
63,22418,Manchester High School,2017,2,B,District,12,395
64,562,Amanda-Clearcreek High School,2017,2,B,District,7,398
65,6635,Clermont Northeastern High School,2017,2,B,District,8,399
66,7724,Crestwood High School,2017,2,B,District,8,400
67,315,Alexander Jr. / Sr. High School,2017,2,B,District,13,401
68,33563,Sandy Valley High School,2017,2,B,District,14,401
69,40261,Wellston High School,2017,2,B,District,24,402
70,111138,Buckeye Local High School,2017,2,B,District,22,403
71,38042,Utica High School,2017,2,B,District,8,404
72,18960,Keystone High School,2017,2,B,District,15,407
73,11114,Fairland High School,2017,2,B,District,10,408
74,27763,Northridge High School,2017,2,B,District,21,409
75,42572,Zane Trace High School,2017,2,B,District,12,410
76,40931,Wheelersburg High School,2017,2,B,District,19,413
77,2436,Berkshire High School,2017,2,B,District,6,414
78,23036,Martins Ferry High School,2017,2,B,District,10,414
79,21956,Madeira High School,2017,2,B,District,1,415
80,21956,Madeira High School,2017,2,B,Regional,1,415
81,21956,Madeira High School,2017,2,B,State,15,415
82,28183,Oak Harbor High School,2017,2,B,District,9,415
83,37846,Union Local High School,2017,2,B,District,15,416
84,41202,Wickliffe High School,2017,2,B,District,10,423
85,19661,Lakeview High School,2017,2,B,District,9,424
86,23960,Meadowbrook High School,2017,2,B,District,17,424
87,98590,Clark Montessori High School,2017,2,B,District,2,427
88,98590,Clark Montessori High School,2017,2,B,Regional,10,427
89,6528,Claymont High School,2017,2,B,District,12,427
90,27896,Northwestern Junior/Senior High School,2017,2,B,District,15,427
91,17905,Jefferson Area Sr High School,2017,2,B,District,3,431
92,17905,Jefferson Area Sr High School,2017,2,B,Regional,11,431
93,2568,Bethel Tate High School,2017,2,B,District,5,432
94,12773,Galion High School,2017,2,B,District,10,432
95,34256,Shawnee Middle School/High School,2017,2,B,District,4,432
96,34256,Shawnee Middle School/High School,2017,2,B,Regional,3,432
97,34256,Shawnee Middle School/High School,2017,2,B,State,20,432
98,32763,Rossford High School,2017,2,B,District,6,436
99,40683,Westfall High School,2017,2,B,District,22,443
100,23358,Maysville High School,2017,2,B,District,23,445
101,25056,Minerva High School,2017,2,B,District,2,447
102,25056,Minerva High School,2017,2,B,Regional,10,447
103,3830,Brookside High School,2017,2,B,District,16,452
104,19539,Lake High School,2017,2,B,District,5,456
105,22772,Mariemont High School,2017,2,B,District,4,456
106,40055,Waynesville High School,2017,2,B,District,6,456
107,40055,Waynesville High School,2017,2,B,Regional,8,456
108,64394,Lake Catholic ,2017,2,B,District,2,457
109,64394,Lake Catholic ,2017,2,B,Regional,6,457
110,64394,Lake Catholic ,2017,2,B,State,14,457
111,122697,Cincinnati Hills Christian Academy ,2017,2,B,District,8,459
112,53934,Ursuline ,2017,2,B,District,11,464
113,17426,Indian Valley High School,2017,2,B,District,5,467
114,17426,Indian Valley High School,2017,2,B,Regional,20,467
115,38554,West Branch High School,2017,2,B,District,9,471
116,39909,Waverly High School,2017,2,B,District,5,474
117,39909,Waverly High School,2017,2,B,Regional,15,474
118,21220,Benjamin Logan High School,2017,2,B,District,11,476
119,52977,Bishop Fenwick ,2017,2,B,District,6,478
120,6551,Clear Fork High School,2017,2,B,District,16,479
121,14027,Graham High School,2017,2,B,District,17,479
122,1750,Bath High School,2017,2,B,District,9,481
123,38174,Valley View High School,2017,2,B,District,9,483
124,1958,Beaver Local High School,2017,2,B,District,18,488
125,53983,Cleveland Central Catholic ,2017,2,B,District,15,488
126,64865,New Lexington High School,2017,2,B,District,20,488
127,12039,Fostoria Junior/Senior High School,2017,2,B,District,15,494
128,11684,Firelands High School,2017,2,B,District,11,495
129,21212,Logan Elm High School,2017,2,B,District,21,496
130,18481,Johnstown High School,2017,2,B,District,9,497
131,13482,Girard Sr High School,2017,2,B,District,13,498
132,15792,Heath High School,2017,2,B,District,1,502
133,15792,Heath High School,2017,2,B,Regional,3,502
134,15792,Heath High School,2017,2,B,State,8,502
135,18846,Kenton High School,2017,2,B,District,13,503
136,19695,Lakewood High School,2017,2,B,District,3,503
137,19695,Lakewood High School,2017,2,B,Regional,13,503
138,5017,Carrollton High School-Carrollton Middle School,2017,2,B,District,3,505
139,5017,Carrollton High School-Carrollton Middle School,2017,2,B,Regional,17,505
140,9936,Edgewood High School,2017,2,B,District,10,505
141,12799,Gallia Academy High School,2017,2,B,District,16,506
142,35626,St Clairsville High School,2017,2,B,District,8,507
143,28670,Ontario High School,2017,2,B,District,7,508
144,28910,Ottawa-Glandorf High School,2017,2,B,District,3,508
145,28910,Ottawa-Glandorf High School,2017,2,B,Regional,9,508
146,52621,Archbishop Alter ,2017,2,B,District,14,509
147,31872,River Valley High School,2017,2,B,District,12,510
148,16162,Highland High School,2017,2,B,District,5,512
149,53207,Lutheran West ,2017,2,B,District,6,512
150,37952,Upper Sandusky High School,2017,2,B,District,12,513
151,6734,Clinton-Massie High School,2017,2,B,District,16,518
152,31880,River View High School,2017,2,B,District,1,519
153,31880,River View High School,2017,2,B,Regional,7,519
154,31880,River View High School,2017,2,B,State,19,519
155,2246,Bellevue High School,2017,2,B,District,8,520
156,11304,Fairview High School,2017,2,B,District,4,521
157,11304,Fairview High School,2017,2,B,Regional,10,521
158,53298,McNicholas ,2017,2,B,District,6,521
159,29710,Perry High School,2017,2,B,District,5,521
160,29710,Perry High School,2017,2,B,Regional,18,521
161,9803,Eaton High School,2017,2,B,District,1,523
162,9803,Eaton High School,2017,2,B,Regional,2,523
163,9803,Eaton High School,2017,2,B,State,17,523
164,11551,Field High School,2017,2,B,District,6,523
165,30452,Poland Seminary High School,2017,2,B,District,2,524
166,30452,Poland Seminary High School,2017,2,B,Regional,12,524
167,38349,Vermilion High School,2017,2,B,District,14,526
168,39883,Wauseon High School,2017,2,B,District,2,526
169,39883,Wauseon High School,2017,2,B,Regional,5,526
170,9084,East Liverpool High School,2017,2,B,District,20,527
171,34306,Shelby High School,2017,2,B,District,1,529
172,34306,Shelby High School,2017,2,B,Regional,2,529
173,34306,Shelby High School,2017,2,B,State,6,529
174,24117,Meigs High School,2017,2,B,District,27,531
175,4622,Cambridge High School,2017,2,B,District,7,532
176,30841,Port Clinton High School,2017,2,B,District,13,532
177,37994,Urbana High School,2017,2,B,District,18,534
178,25544,Morgan High School,2017,2,B,District,19,538
179,23424,McClain High School,2017,2,B,District,25,540
180,29637,Perkins High School,2017,2,B,District,5,542
181,29637,Perkins High School,2017,2,B,Regional,6,542
182,4028,Bryan Middle School/High School,2017,2,B,District,7,543
183,53348,Holy Name High School ,2017,2,B,District,12,549
184,20487,Licking Valley High School,2017,2,B,District,7,550
185,38471,Vinton County High School,2017,2,B,District,18,550
186,26419,Napoleon Junior/Senior High School,2017,2,B,District,5,555
187,38265,Van Wert High School,2017,2,B,District,1,557
188,38265,Van Wert High School,2017,2,B,Regional,3,557
189,38265,Van Wert High School,2017,2,B,State,13,557
190,11072,Fairfield Union High School,2017,2,B,District,4,559
191,11072,Fairfield Union High School,2017,2,B,Regional,19,559
192,27862,Northwest High School,2017,2,B,District,10,559
193,67611,Cuyahoga Valley Christian Acad ,2017,2,B,District,14,563
194,38695,West Holmes High School,2017,2,B,District,11,565
195,26922,New Richmond High School,2017,2,B,District,5,569
196,39248,Warren High School,2017,2,B,District,14,572
197,68577,Kenton Ridge High School,2017,2,B,District,20,573
198,6320,Circleville High School,2017,2,B,District,7,578
199,6320,Circleville High School,2017,2,B,Regional,16,578
200,7286,Coventry High School,2017,2,B,District,4,578
201,7286,Coventry High School,2017,2,B,Regional,19,578
202,37861,Unioto High School,2017,2,B,District,2,578
203,37861,Unioto High School,2017,2,B,Regional,2,578
204,37861,Unioto High School,2017,2,B,State,10,578
205,17046,Hubbard High School,2017,2,B,District,15,581
206,35485,Springfield Junior/Senior High School,2017,2,B,District,7,587
207,36269,Streetsboro High School,2017,2,B,District,13,587
208,53041,Hawken School ,2017,2,B,District,4,589
209,53041,Hawken School ,2017,2,B,Regional,17,589
