,BLDG_IRN,NAME,YEAR,DIVISION,GENDER,TYPE,PLACE,POPULATION
0,53272,Mercy McAuley High School ,2019,1,G,District,8,420
1,53843,St Ursula Academy ,2019,1,G,District,2,451
2,53843,St Ursula Academy ,2019,1,G,Regional,3,451
3,53942,Ursuline Academy ,2019,1,G,District,2,503
4,53942,Ursuline Academy ,2019,1,G,Regional,11,503
5,53389,Notre Dame Academy ,2019,1,G,District,6,530
6,53884,Seton ,2019,1,G,District,6,631
7,53835,St Ursula Academy ,2019,1,G,District,3,646
8,53835,St Ursula Academy ,2019,1,G,Regional,10,646
9,4127,Buckeye High School,2019,1,G,District,12,678
10,22798,Marietta High School,2019,1,G,District,14,680
11,53702,St Joseph Academy ,2019,1,G,District,2,682
12,53702,St Joseph Academy ,2019,1,G,Regional,1,682
13,53702,St Joseph Academy ,2019,1,G,State,8,682
14,53215,Magnificat ,2019,1,G,District,8,695
15,41558,Wilmington High School,2019,1,G,District,14,696
16,26906,New Philadelphia High School,2019,1,G,District,8,725
17,53322,Mount Notre Dame ,2019,1,G,District,9,726
18,24414,Miami Trace High School,2019,1,G,District,11,732
19,14944,Hamilton Township High School,2019,1,G,District,17,742
20,25866,Western Brown High School,2019,1,G,District,11,760
21,12310,Franklin High School,2019,1,G,District,20,761
22,36988,Tecumseh High School,2019,1,G,District,12,763
23,4796,Canfield High School,2019,1,G,District,8,773
24,24596,Midview High School,2019,1,G,District,11,774
25,17004,Howland High School,2019,1,G,District,2,781
26,17004,Howland High School,2019,1,G,Regional,8,781
27,17004,Howland High School,2019,1,G,State,14,781
28,1792,Bay High School,2019,1,G,District,2,783
29,1792,Bay High School,2019,1,G,Regional,12,783
30,8722,Dover High School,2019,1,G,District,6,798
31,8722,Dover High School,2019,1,G,Regional,12,798
32,3285,Bowling Green High School,2019,1,G,District,5,805
33,1123,Lakeside High School,2019,1,G,District,9,812
34,21576,Louisville High School,2019,1,G,District,6,817
35,18770,Kenston High School,2019,1,G,District,4,821
36,18770,Kenston High School,2019,1,G,Regional,10,821
37,39164,Wapakoneta High School,2019,1,G,District,7,826
38,4416,Butler High School,2019,1,G,District,13,841
39,2154,Bellbrook High School,2019,1,G,District,8,847
40,6296,Chillicothe High School,2019,1,G,District,5,856
41,6296,Chillicothe High School,2019,1,G,Regional,15,856
42,64683,Northwest High School,2019,1,G,District,14,857
43,32243,Rocky River High School,2019,1,G,District,9,872
44,32755,Ross High School,2019,1,G,District,10,881
45,1081,Ashland High School,2019,1,G,District,4,886
46,30098,Piqua High School,2019,1,G,District,10,888
47,53587,St Francis De Sales ,2019,1,G,District,14,893
48,7054,Columbian High School,2019,1,G,District,4,900
