,BLDG_IRN,NAME,YEAR,DIVISION,GENDER,TYPE,PLACE,POPULATION
0,52928,Columbus School For Girls ,2020,2,G,District,4,180
1,60764,Laurel School ,2020,2,G,District,13,202
2,52654,Beaumont School ,2020,2,G,District,5,287
3,52654,Beaumont School ,2020,2,G,Regional,15,287
4,52787,Cardinal Mooney ,2020,2,G,District,10,290
5,10769,Eastern High School,2020,2,G,District,13,310
6,146480,Rock Hill Sr High School,2020,2,G,District,4,319
7,146480,Rock Hill Sr High School,2020,2,G,Regional,14,319
8,37663,Tuscarawas Valley High School,2020,2,G,District,3,327
9,37663,Tuscarawas Valley High School,2020,2,G,Regional,10,327
10,37671,Tuslaw High School,2020,2,G,District,9,331
11,12450,Fredericktown High School,2020,2,G,District,2,339
12,12450,Fredericktown High School,2020,2,G,Regional,7,339
13,12450,Fredericktown High School,2020,2,G,State,20,339
14,13110,James A Garfield High School,2020,2,G,District,9,345
15,9779,Eastwood I High School,2020,2,G,District,2,357
16,9779,Eastwood I High School,2020,2,G,Regional,11,357
17,53033,Hathaway Brown ,2020,2,G,District,2,358
18,53033,Hathaway Brown ,2020,2,G,Regional,4,358
19,53033,Hathaway Brown ,2020,2,G,State,7,358
20,11668,Finneytown Secondary Campus,2020,2,G,District,5,363
21,3863,Brookville High School,2020,2,G,District,7,366
22,24984,Milton-Union High School,2020,2,G,District,9,366
23,4507,Harrison Central Jr./Sr. High School,2020,2,G,District,13,371
24,5819,Champion High School,2020,2,G,District,15,372
25,41319,Willard High School,2020,2,G,District,11,372
26,10041,Edison High School,2020,2,G,District,3,375
27,10041,Edison High School,2020,2,G,Regional,6,375
28,26393,North Union High School,2020,2,G,District,8,378
29,7211,Conneaut High School,2020,2,G,District,14,379
30,17194,Huron High School,2020,2,G,District,6,385
31,19364,River Valley High School,2020,2,G,District,14,394
32,22418,Manchester High School,2020,2,G,District,15,395
33,6635,Clermont Northeastern High School,2020,2,G,District,5,399
34,7724,Crestwood High School,2020,2,G,District,11,400
35,315,Alexander Jr. / Sr. High School,2020,2,G,District,7,401
36,315,Alexander Jr. / Sr. High School,2020,2,G,Regional,18,401
37,33563,Sandy Valley High School,2020,2,G,District,2,401
38,33563,Sandy Valley High School,2020,2,G,Regional,11,401
39,2576,Bethel High School,2020,2,G,District,7,403
40,38042,Utica High School,2020,2,G,District,8,404
41,28076,Norwayne High School,2020,2,G,District,8,413
42,40931,Wheelersburg High School,2020,2,G,District,12,413
43,28183,Oak Harbor High School,2020,2,G,District,5,415
44,37846,Union Local High School,2020,2,G,District,19,416
45,19661,Lakeview High School,2020,2,G,District,10,424
46,23960,Meadowbrook High School,2020,2,G,District,10,424
47,6528,Claymont High School,2020,2,G,District,18,427
48,27896,Northwestern Junior/Senior High School,2020,2,G,District,3,427
