,BLDG_IRN,NAME,YEAR,DIVISION,GENDER,TYPE,PLACE,POPULATION
0,97923,East Dayton Christian ,2018,3,B,District,27,79
1,126144,Granville Christian Academy ,2018,3,B,District,3,86
2,126144,Granville Christian Academy ,2018,3,B,Regional,11,86
3,26765,New Knoxville High School,2018,3,B,District,13,93
4,52860,Central Christian ,2018,3,B,District,13,95
5,36327,Stryker High School,2018,3,B,District,4,98
6,36327,Stryker High School,2018,3,B,Regional,21,98
7,134619,Emmanuel Christian Academy ,2018,3,B,District,14,104
8,125278,Heartland Christian School ,2018,3,B,District,11,106
9,53637,Saint John School ,2018,3,B,District,13,108
10,13870,Fayette Jr/Sr High School,2018,3,B,District,4,109
11,13870,Fayette Jr/Sr High School,2018,3,B,Regional,13,109
12,17582,Jackson Center High School,2018,3,B,District,18,109
13,37960,Upper Scioto Valley High School,2018,3,B,District,9,111
14,15172,Hardin Northern High School,2018,3,B,District,5,112
15,53686,"Bishop Hoffman Catholic, St Joseph Central Catholi",2018,3,B,District,9,115
16,53785,St Peter High School and Junior High School ,2018,3,B,District,6,115
17,3376,Bradford High School,2018,3,B,District,31,116
18,33050,Russia High School,2018,3,B,District,10,117
19,53363,Notre Dame Jr/Sr ,2018,3,B,District,17,119
20,28936,Ottoville High School,2018,3,B,District,10,122
21,89722,Madison Christian School ,2018,3,B,District,7,123
22,21717,Lucas High School,2018,3,B,District,12,124
23,52779,Calvert Catholic Schools ,2018,3,B,District,9,125
24,10090,Edon High School,2018,3,B,District,13,125
25,40097,Waynesfield-Goshen Local High School,2018,3,B,District,11,126
26,16568,Holgate High School,2018,3,B,District,3,128
27,16568,Holgate High School,2018,3,B,Regional,18,128
28,16436,Hilltop High School,2018,3,B,District,12,131
29,53751,Sandusky Central Catholic School ,2018,3,B,District,2,132
30,53751,Sandusky Central Catholic School ,2018,3,B,Regional,5,132
31,53751,Sandusky Central Catholic School ,2018,3,B,State,14,132
32,21477,Lordstown High School,2018,3,B,District,12,134
33,52670,Wm V Fisher Catholic ,2018,3,B,District,6,138
34,26955,New Riegel High School,2018,3,B,District,3,139
35,26955,New Riegel High School,2018,3,B,Regional,16,139
36,14373,Green High School,2018,3,B,District,4,140
37,14373,Green High School,2018,3,B,Regional,15,140
38,29793,Pettisville High School,2018,3,B,District,3,141
39,29793,Pettisville High School,2018,3,B,Regional,14,141
40,8052,Danbury High School,2018,3,B,District,13,142
41,26070,North Baltimore High School,2018,3,B,District,8,147
42,18606,Kalida High School,2018,3,B,District,7,148
43,90274,Open Door Christian Schools ,2018,3,B,District,6,148
44,3640,Bristol High School,2018,3,B,District,4,149
45,3640,Bristol High School,2018,3,B,Regional,12,149
46,52795,Cardinal Stritch Catholic High School & Academy ,2018,3,B,District,13,149
47,11163,Fairlawn High School,2018,3,B,District,20,149
48,12377,Franklin Monroe High School,2018,3,B,District,13,153
49,67637,The Miami Valley School ,2018,3,B,District,26,153
50,134510,Fairfield Christian Academy ,2018,3,B,District,8,157
51,67629,Mansfield Christian School ,2018,3,B,District,11,157
52,27169,Newton High School,2018,3,B,District,11,158
53,5173,Cedarville High School,2018,3,B,District,3,165
54,5173,Cedarville High School,2018,3,B,Regional,4,165
55,5173,Cedarville High School,2018,3,B,State,15,165
56,53082,Lehman High School ,2018,3,B,District,29,165
57,26112,North Central Junior/High School,2018,3,B,District,7,165
58,25122,Mississinawa Valley JR/SR High School,2018,3,B,District,30,168
59,53827,St Thomas Aquinas ,2018,3,B,District,8,168
60,41004,Whiteoak High School,2018,3,B,District,5,169
61,41004,Whiteoak High School,2018,3,B,Regional,14,169
62,30429,Plymouth High School,2018,3,B,District,7,171
63,844,Antwerp Local High School,2018,3,B,District,3,174
64,844,Antwerp Local High School,2018,3,B,Regional,17,174
65,4085,Buckeye Central High School,2018,3,B,District,10,174
66,53645,St John Elementary and High School ,2018,3,B,District,8,174
67,81851,Toledo Christian ,2018,3,B,District,7,175
68,9589,Eastern High School,2018,3,B,District,9,176
69,9894,Edgerton High School,2018,3,B,District,2,179
70,9894,Edgerton High School,2018,3,B,Regional,11,179
71,3228,Botkins High School,2018,3,B,District,5,183
72,3228,Botkins High School,2018,3,B,Regional,6,183
73,17798,Jackson-Milton High School,2018,3,B,District,3,188
74,17798,Jackson-Milton High School,2018,3,B,Regional,11,188
75,3558,The Bridgeport School District - High School,2018,3,B,District,9,188
